"annotation_id","annotator","created_at","homepage","id","lead_time","sentiment","text","updated_at","url"
185,"1","2024-04-01T15:10:17.902151Z","location: homepage",51032,1.83,"Neither","Link 2","2024-04-01T15:10:17.902179Z","https://tryfacta.com"
186,"1","2024-04-01T15:10:24.060883Z","location: homepage",51033,5.96,"Product/Feature","Home Services","2024-04-01T15:10:24.060910Z","https://www.marketcall.com/industries#vertical-home-services"
187,"1","2024-04-01T15:10:26.422421Z","location: homepage",51034,2.152,"Neither","Follow","2024-04-01T15:10:26.422449Z","https://www.linkedin.com/company/flexcareinfusion/"
188,"1","2024-04-01T15:10:28.917486Z","location: homepage",51035,2.293,"About","Who We Are","2024-04-01T15:10:28.917515Z","https://liveshopper.com/who-we-are/"
189,"1","2024-04-01T15:10:31.068304Z","location: homepage",51036,1.949,"Neither","Login","2024-04-01T15:10:31.068332Z","http://liveshopper.com"
190,"1","2024-04-01T15:10:36.208270Z","location: about/team",51037,4.941,"Title/role","Chief Medical Officer","2024-04-01T15:10:36.208301Z","http://carebridgehealth.com/team2023"
191,"1","2024-04-01T15:10:38.608306Z","location: about/team",51038,2.201,"Bio","Rebekkah Jackman","2024-04-01T15:10:38.608333Z","https://flexcareinfusion.com/about-us/#team"
192,"1","2024-04-01T15:10:40.391281Z","location: about/team",51039,1.586,"Neither","×","2024-04-01T15:10:40.391309Z","https://flexcareinfusion.com/about-us/#team"
193,"1","2024-04-01T15:11:16.665433Z","location: homepage",51040,36.06,"Product/Feature","Sassie Systems","2024-04-01T15:11:16.665460Z","https://liveshopper.com/sassie-systems/"
194,"1","2024-04-01T15:11:18.638516Z","location: about/team",51041,1.768,"Neither","×","2024-04-01T15:11:18.638545Z","https://flexcareinfusion.com/about-us/#team"
195,"1","2024-04-01T15:17:34.713530Z","location: about/team",51042,375.868,"Bio","Matt and his wife Rachel reside in Birmingham, AL with their two pets, Addie and Jenkins.","2024-04-01T15:17:34.713558Z","https://flexcareinfusion.com/about-us/#team"
196,"1","2024-04-01T15:18:10.647693Z","location: homepage",51043,35.686,"Neither","Upward Health","2024-04-01T15:18:10.647720Z","https://upwardhealth.com/category/upward-health/"
197,"1","2024-04-01T15:18:13.190251Z","location: about/team",51044,2.339,"Bio","Rebekkah graduated from the University of Oklahoma Health Sciences Center where she earned her Master of Science Degree in Nursing with a Family Nurse Practitioner emphasis. She has over 16 years of experience in patient care and is passionate about infusion therapy and best serving our patients.","2024-04-01T15:18:13.190278Z","https://flexcareinfusion.com/about-us/#team"
198,"1","2024-04-01T15:18:17.790298Z","location: about/team",51045,4.402,"Bio","Dr. Cohen most recently served as the Vice President Collaborative Innovation and Clinical Strategy at CVS Health.  Prior to CVS, he served as the Chief Medical Director for Post-Acute Care and Government Programs at eviCore, a Cigna company.  He is a board-certified internist with nearly thirty years of clinical and executive experience.","2024-04-01T15:18:17.790328Z","http://carebridgehealth.com/team2023"
199,"1","2024-04-01T15:18:22.759057Z","location: homepage",51046,4.772,"Product/Feature","Demos","2024-04-01T15:18:22.759084Z","https://liveshopper.com/sassie-demos/"
200,"1","2024-04-01T15:18:25.036872Z","location: about/team",51047,2.078,"Bio","Matt Holden is an acute care Nurse Practitioner with over a decade of committed service to the patients in his community. Matt joined FlexCare in 2021 as a Managing Nurse Practitioner and led the launch of the first FlexCare location in Alabama before assuming the role of Vice President of Operations in 2023.","2024-04-01T15:18:25.036900Z","https://flexcareinfusion.com/about-us/#team"
201,"1","2024-04-01T15:18:29.067213Z","location: homepage",51048,3.829,"Product/Feature","Banking","2024-04-01T15:18:29.067241Z","https://tryfacta.com/industry/banking"
202,"1","2024-04-01T15:18:31.902293Z","location: about/team",51049,2.636,"Title/role","Chief Executive Officer","2024-04-01T15:18:31.902321Z","http://carebridgehealth.com/team2023"
203,"1","2024-04-01T15:18:37.217146Z","location: homepage",51050,5.107,"Neither","Vacancy","2024-04-01T15:18:37.217173Z","https://www.marketcall.com/hiring"
204,"1","2024-04-01T15:18:40.576130Z","location: homepage",51051,3.161,"Product/Feature","Online Monitoring","2024-04-01T15:18:40.576158Z","https://liveshopper.com/online-monitoring/"
205,"1","2024-04-01T15:18:42.960689Z","location: about/team",51052,2.185,"Bio","Lynne most recently served as President of the Clinical Care business for Matrix Medical Network, providing in-home assessments supporting risk adjustment and HEDIS gap closure for health plan customers. Prior to Matrix, Lynne spent 10 years with UnitedHealth Group in various leadership positions.","2024-04-01T15:18:42.960717Z","http://carebridgehealth.com/team2023"
206,"1","2024-04-01T15:18:45.535123Z","location: homepage",51053,2.372,"Neither","Careers","2024-04-01T15:18:45.535150Z","https://upwardhealth.com/careers/"
207,"1","2024-04-01T15:18:47.650245Z","location: about/team",51054,1.915,"Title/role","Executive Vice President, Business Development and Expansion","2024-04-01T15:18:47.650274Z","https://flexcareinfusion.com/about-us/#team"
208,"1","2024-04-01T15:18:49.556089Z","location: homepage",51055,1.699,"Neither","December 19, 2023","2024-04-01T15:18:49.556117Z","https://upwardhealth.com/2023/12/19/"
209,"1","2024-04-01T15:18:54.277404Z","location: about/team",51056,4.518,"Bio","Heather Randel joined FlexCare in 2020 and led the development of the Intake team before taking over Revenue Cycle Management in 2022. Heather has 10 years of medical RCM experience in ambulatory, specialty pharmacy, and home infusion. Previously, Heather was the Assistance Director of RCM in Intake for a Specialty Pharmacy and Home Infusion service in Kansas.","2024-04-01T15:18:54.277431Z","https://flexcareinfusion.com/about-us/#team"
210,"1","2024-04-01T15:18:56.133696Z","location: homepage",51057,1.657,"Neither","Join Our Team","2024-04-01T15:18:56.133723Z","https://flexcareinfusion.com/careers/"
211,"1","2024-04-01T15:18:58.613095Z","location: homepage",51058,2.267,"Title/role","Board of Directors","2024-04-01T15:18:58.613123Z","https://upwardhealth.com/leadership/board-of-directors/"
212,"1","2024-04-01T15:19:01.733027Z","location: homepage",51059,2.914,"Product/Feature","C-SAT","2024-04-01T15:19:01.733057Z","https://liveshopper.com/c-sat/"
213,"1","2024-04-01T15:19:06.145767Z","location: homepage",51060,4.198,"Product/Feature","Tryfacta Federal","2024-04-01T15:19:06.145794Z","https://tryfacta.com"
214,"1","2024-04-01T15:19:08.127440Z","location: about/team",51061,1.749,"Bio","Mark’s dedication to enhancing access to healthcare and a model that always places the patients and their caregivers at the center of every visit was the impetus for teaming up with Rick Yerondopoulos and establishing InfuseAble Care in November 2020. Through Mark and Rick’s reputation in Arizona for reliable and service-oriented healthcare, InfuseAble Care’s brand quickly became the trusted ambulatory infusion center for physicians to refer their patients to around the state. Mark and Ricks’s goals of scaling InfuseAble Care nationally came to fruition upon meeting Aaron Smith, Callie Turk, and Adam Midkiff of FlexCare and RC Capital and ultimately joined FlexCare Infusion via acquisition in December 2021.","2024-04-01T15:19:08.127467Z","https://flexcareinfusion.com/about-us/#team"
215,"1","2024-04-01T15:19:11.861594Z","location: about/team",51062,3.526,"Bio","Derek most recently led COVID-19 testing and mass and mobile vaccination efforts across the State of Illinois. Prior to that, he was a leader at Livongo (LVGO) and led teams with global consulting firm Bain & Co. and 7wireVentures VC Fund. He was also a policy advisor in the U.S. Senate and the City of Chicago Mayors Office.","2024-04-01T15:19:11.861622Z","http://carebridgehealth.com/team2023"
216,"1","2024-04-01T15:19:14.274056Z","location: homepage",51063,2.208,"Neither","Follow","2024-04-01T15:19:14.274083Z","https://www.instagram.com/flexcare_infusion/"
217,"1","2024-04-01T15:19:15.925849Z","location: about/team",51064,1.444,"Bio","Rick Yerondopoulos professional trajectory took him into leadership just 3 years after obtaining his Doctor of Pharmacy (Pharm.D.) from the University of Arizona. His desire to be a business leader in the world of pharmaceuticals and operations drove him to complete two post-graduate residencies in Milwaukee, WI, with a heavy concentration on administration leadership.  Rick was selected to represent the state of Wisconsin in a joint venture with the state of Iowa at the 2007 Young Pharmacy Leaders Conference.","2024-04-01T15:19:15.925879Z","https://flexcareinfusion.com/about-us/#team"
218,"1","2024-04-01T15:19:25.400754Z","location: homepage",51065,9.263,"Product/Feature","mthink.com","2024-04-01T15:19:25.400784Z","https://mthink.com/best-pay-per-call-networks/"
219,"1","2024-04-01T15:19:28.193598Z","location: about/team",51066,2.589,"Neither","Need style code for dipi-popup-wrapper to make 'Popup Position setting' working with 'Popup Width' setting","2024-04-01T15:19:28.193624Z","https://flexcareinfusion.com/about-us/#team"
220,"1","2024-04-01T15:19:30.738216Z","location: homepage",51067,2.342,"Neither","Contacts","2024-04-01T15:19:30.738246Z","https://www.marketcall.com/contact"
221,"1","2024-04-01T15:19:32.473785Z","location: about/team",51068,1.49,"Neither","html","2024-04-01T15:19:32.473813Z","http://carebridgehealth.com/team2023"
222,"1","2024-04-01T15:19:34.779569Z","location: homepage",51069,2.1,"Product/Feature","Product Overview","2024-04-01T15:19:34.779596Z","https://liveshopper.com/product-overview/"
223,"1","2024-04-01T15:19:36.808220Z","location: about/team",51070,1.825,"Bio","Wilmaries past leadership roles include lead advocate as Pennsylvanias State Long-Term Care Ombudsman and overseeing the statewide protectives services programs. Wilmarie most recently served as Director of Quality designing the overall evaluation and quality infrastructure for the MLTSS program at the PA Department of Human Services.","2024-04-01T15:19:36.808248Z","http://carebridgehealth.com/team2023"
224,"1","2024-04-01T15:19:38.501806Z","location: homepage",51071,1.49,"Neither","Login","2024-04-01T15:19:38.501835Z","https://www.charterup.com/login/"
225,"1","2024-04-01T15:19:45.267819Z","location: homepage",51072,6.546,"Neither","Upward Health Locations","2024-04-01T15:19:45.267846Z","https://upwardhealth.com/service-locations/"
226,"1","2024-04-01T15:19:47.036489Z","location: about/team",51073,1.553,"Neither","×","2024-04-01T15:19:47.036516Z","https://flexcareinfusion.com/about-us/#team"
227,"1","2024-04-01T15:19:57.380280Z","location: about/team",51074,10.136,"Bio","Wilmarie Gonzalez","2024-04-01T15:19:57.380305Z","http://carebridgehealth.com/team2023"
228,"1","2024-04-01T15:19:59.152090Z","location: homepage",51075,1.567,"Neither","Linkedin","2024-04-01T15:19:59.152119Z","https://www.linkedin.com/company/upward-health"
229,"1","2024-04-01T15:20:01.214774Z","location: homepage",51076,1.859,"Bio","Virtual Tour","2024-04-01T15:20:01.214804Z","https://flexcareinfusion.com/virtual-tour/"
230,"1","2024-04-01T15:20:03.309647Z","location: about/team",51077,1.893,"Title/role","Chief Medical Director - Clinical Operations & Transformation","2024-04-01T15:20:03.309674Z","http://carebridgehealth.com/team2023"
231,"1","2024-04-01T15:20:05.653544Z","location: homepage",51078,2.142,"Neither","Sign up as an affiliateEasily monetize your traffic","2024-04-01T15:20:05.653572Z","https://www.marketcall.com/auth/register/affiliate"
232,"1","2024-04-01T15:20:08.298528Z","location: homepage",51079,2.445,"About","About Us","2024-04-01T15:20:08.298555Z","https://www.charterup.com/about-us/"
233,"1","2024-04-01T15:20:11.041060Z","location: homepage",51080,2.539,"Neither","Home","2024-04-01T15:20:11.041090Z","http://carebridgehealth.com/"
234,"1","2024-04-01T15:20:12.441721Z","location: homepage",51081,1.19,"Neither","Dragon","2024-04-01T15:20:12.441749Z","https://liveshopper.com/dragon/"
235,"1","2024-04-01T15:20:17.040668Z","location: homepage",51082,4.386,"Product/Feature","Automatization","2024-04-01T15:20:17.040696Z","https://www.marketcall.com/automatization"
236,"1","2024-04-01T15:20:19.188977Z","location: about/team",51083,1.946,"About","Team","2024-04-01T15:20:19.189006Z","http://carebridgehealth.com/team2023"
237,"1","2024-04-01T15:20:29.358129Z","location: about/team",51084,9.623,"Title/role","Vice President of Technology","2024-04-01T15:20:29.358158Z","https://flexcareinfusion.com/about-us/#team"
238,"1","2024-04-01T15:20:31.386853Z","location: homepage",51085,1.805,"Neither","Contact Us","2024-04-01T15:20:31.386883Z","https://liveshopper.com/contact-us/"
239,"1","2024-04-01T15:20:34.315242Z","location: homepage",51086,2.712,"Neither","Fraud prevention","2024-04-01T15:20:34.315271Z","https://www.marketcall.com/fraud-prevention"
240,"1","2024-04-01T15:20:36.810499Z","location: homepage",51087,2.288,"Neither","Our Foundation","2024-04-01T15:20:36.810528Z","https://upwardhealth.com/community-support/"
241,"1","2024-04-01T15:20:41.354696Z","location: about/team",51088,4.337,"Bio","Todd most recently served as Senior Vice President of Business Development at Remedy Partners, where he was a founding member of the management team and led Remedys risk partnerships. Prior to Remedy, he served as a Director in Alvarez & Marsals healthcare restructuring group.","2024-04-01T15:20:41.354725Z","http://carebridgehealth.com/team2023"
242,"1","2024-04-01T15:20:43.198388Z","location: about/team",51089,1.621,"Neither","×","2024-04-01T15:20:43.198417Z","https://flexcareinfusion.com/about-us/#team"
243,"1","2024-04-01T15:20:45.537906Z","location: about/team",51090,2.128,"Bio","Brad is the Executive Chairman of CareBridge Health and the Founder and Chief Executive Officer of Russell Street Ventures. Brad served as Co-Founder and CEO of Aspire Health and the Director of the Center for Medicare and Medicaid Innovation (CMMI).","2024-04-01T15:20:45.537936Z","http://carebridgehealth.com/team2023"
244,"1","2024-04-01T15:20:47.747951Z","location: about/team",51091,2.007,"Neither","Need style code for dipi-popup-wrapper to make 'Popup Position setting' working with 'Popup Width' setting","2024-04-01T15:20:47.747981Z","https://flexcareinfusion.com/about-us/#team"
245,"1","2024-04-01T15:20:49.945290Z","location: about/team",51092,1.994,"Title/role","Patti Killingsworth","2024-04-01T15:20:49.945318Z","http://carebridgehealth.com/team2023"
246,"1","2024-04-01T15:20:51.795320Z","location: homepage",51093,1.631,"Neither","For advertisersGet qualified leads for your business","2024-04-01T15:20:51.795348Z","https://www.marketcall.com/merchants"
247,"1","2024-04-01T15:20:55.473300Z","location: homepage",51094,3.464,"Neither","Cloud","2024-04-01T15:20:55.473329Z","https://tryfacta.com/digital/cloud"
248,"1","2024-04-01T15:21:00.435748Z","location: homepage",51095,4.754,"Neither","Request a Visit","2024-04-01T15:21:00.435775Z","https://flexcareinfusion.com/request-a-visit/"
249,"1","2024-04-01T15:21:04.109833Z","location: homepage",51096,3.439,"Product/Feature","Payouts","2024-04-01T15:21:04.109862Z","https://www.marketcall.com/payouts"
250,"1","2024-04-01T15:21:06.640865Z","location: about/team",51097,2.328,"Title/role","Chief Growth Officer","2024-04-01T15:21:06.640895Z","http://carebridgehealth.com/team2023"
251,"1","2024-04-01T15:21:08.174512Z","location: homepage",51098,1.329,"Neither","410+ Reviews","2024-04-01T15:21:08.174539Z","https://flexcareinfusion.com/reviews"
252,"1","2024-04-01T15:21:10.978020Z","location: about/team",51099,2.6,"","Lynne Schaffler","2024-04-01T15:21:10.978048Z","http://carebridgehealth.com/team2023"
253,"1","2024-04-01T15:21:12.503256Z","location: about/team",51100,1.32,"Bio","Heather Randel","2024-04-01T15:21:12.503284Z","https://flexcareinfusion.com/about-us/#team"
254,"1","2024-04-01T15:21:14.017808Z","location: about/team",51101,1.292,"Bio","Dr. Hsu most recently served as Vice President of Medical Policy and Utilization Review and One Care Medical Director at Commonwealth Care Alliance.  Prior to CCA, he helped develop and implement the Beth Israel Deaconess MassHealth Accountable Care Organization.  He is a board certified in internal medicine, pulmonary medicine, and critical care medicine.","2024-04-01T15:21:14.017836Z","http://carebridgehealth.com/team2023"
255,"1","2024-04-01T15:21:16.128352Z","location: homepage",51102,1.896,"Neither","Arizona","2024-04-01T15:21:16.128379Z","https://flexcareinfusion.com/locations/arizona/"
256,"1","2024-04-01T15:21:18.781599Z","location: about/team",51103,2.448,"Bio","Mark currently resides in Litchfield Park, AZ with his wife, two sons, daughter, and labradoodle Eevee.","2024-04-01T15:21:18.781626Z","https://flexcareinfusion.com/about-us/#team"
257,"1","2024-04-01T15:21:22.453736Z","location: about/team",51104,3.468,"Bio","Dr. Henderson most recently served as the Chief Medical Officer of PopHealthCare and previously served as the Lead Medical Director for Uniteds LTSS program in Tennessee as well as on Uniteds national LTSS clinical team. She is board-certified in internal medicine, geriatrics, and palliative medicine as well as a certified Medical Director with the Society for Post-Acute and Long-Term Care Medicine. She also serves as a Lieutenant Colonel in the US Army Reserve.","2024-04-01T15:21:22.453764Z","http://carebridgehealth.com/team2023"
258,"1","2024-04-01T15:21:24.130624Z","location: about/team",51105,1.47,"Neither","×","2024-04-01T15:21:24.130652Z","https://flexcareinfusion.com/about-us/#team"
259,"1","2024-04-01T15:21:26.867969Z","location: homepage",51106,2.53,"Product/Feature","Marketing Tools","2024-04-01T15:21:26.867994Z","https://www.marketcall.com/tools"
260,"1","2024-04-01T15:21:29.858550Z","location: homepage",51107,2.471,"Neither","Current Users","2024-04-01T15:21:29.858583Z","http://carebridgehealth.com/states"
261,"1","2024-04-01T15:21:33.632286Z","location: homepage",51108,3.53,"Product/Feature","Auto Correct Auto Change","2024-04-01T15:21:33.632317Z","https://liveshopper.com/auto-correct-auto-change/"
262,"1","2024-04-01T15:21:35.766553Z","location: homepage",51109,1.926,"Neither","Providers","2024-04-01T15:21:35.766580Z","https://flexcareinfusion.com"
263,"1","2024-04-01T15:21:37.610087Z","location: about/team",51110,1.63,"Bio","Dr. Saxena most recently served as the medical director of hospital services for Vanderbilt Behavioral Health. He is the medical director of behavioral health services at Southwell Health System and is certified by the American Board of Psychiatry and Neurology.","2024-04-01T15:21:37.610115Z","http://carebridgehealth.com/team2023"
264,"1","2024-04-01T15:21:40.168377Z","location: about/team",51111,10.101,"Neither","End of Squarespace Headers","2024-04-01T15:21:52.907403Z","http://carebridgehealth.com/team2023"
