link,nav,text,label
http://carebridgehealth.com,http://carebridgehealth.com/,Home,Product/Feature
https://greenlightdistribution.com,https://greenlightdistribution.com/,About Us,About
https://birchcreekdev.com/about/,,Give Back,Neither
https://birchcreekdev.com/about/,,<![endif],Neither
http://charterup.com,mailto:support@charterup.com,support@charterup.com,Neither
https://birchcreekdev.com,https://birchcreekdev.com/news/,News,Neither
https://birchcreekdev.com/about/,,end Simple Custom CSS and JS,Neither
http://carebridgehealth.com/team2023,,"Lynne most recently served as President of the Clinical Care business for Matrix Medical Network, providing in-home assessments supporting risk adjustment and HEDIS gap closure for health plan customers. Prior to Matrix, Lynne spent 10 years with UnitedHealth Group in various leadership positions.",Bio
http://charterup.com,https://www.charterup.com/shuttles/,Shuttles,Product/Feature
https://birchcreekdev.com/about/,,Landowners,Neither
https://greenlightdistribution.com,https://greenlightdistribution.com/whiskey-bourbon/,Whiskey / Bourbon,Product/Feature
http://charterup.com,https://www.charterup.com/blog/,Blog,Neither
http://charterup.com,https://www.charterup.com/on-demand-bus-routes/,Shuttles for Urgent & On Demand,Neither
http://charterup.com,https://resellerratings.com/store/CharterUp,9.95 out of 10,Neither
https://birchcreekdev.com/about/,,Skip to content,Neither
http://liveshopper.com,https://liveshopper.com/sassie-demos/,Demos,Product/Feature
https://birchcreekdev.com/about/,,Birch Creek has numerous projects in various stages of development across,Bio
http://carebridgehealth.com,http://carebridgehealth.com/team2023,Team,About
https://birchcreekdev.com/about/,,"Birch Creek is actively engaged in the development of more than 8 GW of solar power generation, and storage projects.",Bio
https://greenlightdistribution.com,https://greenlightdistribution.com/cognac-brandy-liqueur/,Cognac / Brandy / Liqueur,Product/Feature
http://carebridgehealth.com/team2023,,"Pam has more than 30 years of experience in Medicaid and has led efforts nationwide to develop, expand, and improve managed long-term services and supports (MLTSS) programs. Pam most recently served as a Director with Sellers Dorsey, a Medicaid consulting firm. Prior to that, Pam was the Director of Managed Care for the State of Texas Medicaid programs.",Bio
http://carebridgehealth.com/team2023,,Mike Tudeen,Neither
http://liveshopper.com,https://liveshopper.com/api/,API,Product/Feature
http://carebridgehealth.com/team2023,,National Medical Director - Clinical Operations,Title/role
https://birchcreekdev.com/about/,,Renewable Energy Development and Finance,Neither
https://birchcreekdev.com/about/,,start Simple Custom CSS and JS,Neither
http://charterup.com,https://www.charterup.com/cities/,Cities We Serve,Product/Feature
https://birchcreekdev.com/about/,,End Google Tag Manager (noscript),Neither
http://charterup.com,https://www.charterup.com/reviews/,Reviews,Neither
http://carebridgehealth.com/team2023,,Brad is the Executive Chairman of CareBridge Health and the Founder and Chief Executive Officer of Russell Street Ventures. Brad served as Co-Founder and CEO of Aspire Health and the Director of the Center for Medicare and Medicaid Innovation (CMMI).,Bio
http://carebridgehealth.com/team2023,,Chief Operating Officer,Title/role
https://greenlightdistribution.com,https://greenlightdistribution.com/,About Us,About
http://charterup.com,https://www.charterup.com/charter-bus-rentals/houston-charter-bus-rental/,Houston,Product/Feature
http://carebridgehealth.com/team2023,,Team — CareBridge,Neither
http://charterup.com,https://www.charterup.com/charter-buses/charter-bus-rentals-for-teams/,Charters for Teams,Product/Feature
http://charterup.com,https://www.charterup.com/about-us/,Company,Product/Feature
https://birchcreekdev.com,https://echo-factory.com/,Site by Echo-Factory,Product/Feature
http://liveshopper.com,https://liveshopper.com/product-overview/,Product Overview,Product/Feature
http://carebridgehealth.com/team2023,,Chief Executive Officer,Title/role
http://carebridgehealth.com/team2023,,Puneet Singh,Neither
http://charterup.com,https://www.charterup.com/charter-bus-rentals/,Charter Bus Rentals,Product/Feature
https://birchcreekdev.com/about/,,html,Neither
http://charterup.com,https://www.charterup.com/about-us/,About Us,Product/Feature
http://carebridgehealth.com/team2023,,Chief Strategy Officer,Title/role
http://carebridgehealth.com,http://carebridgehealth.com/states,Current Users,Neither
http://carebridgehealth.com/team2023,,Chief Growth Officer,Title/role
http://charterup.com,https://www.charterup.com/charter-buses/charter-bus-rentals-for-emergency-services/,Charters for Emergency Services,Product/Feature
http://charterup.com,https://www.charterup.com/careers/,Join Us,Neither
http://carebridgehealth.com/team2023,,"Brandon was most recently the Chief Financial Officer of Landmark Health, a national, risk-bearing house call provider serving chronically ill patients. Prior to Landmark, he was Vice President at General Atlantic, a global growth equity firm, where he focused on healthcare services and IT investing.",Bio
https://birchcreekdev.com,https://birchcreekdev.com/terms-of-use/,Terms of Use,Neither
https://greenlightdistribution.com,https://greenlightdistribution.com/rtd-non-alcoholic/,RTD / Non-Alcoholic,Product/Feature
https://birchcreekdev.com/about/,,News,Neither
https://birchcreekdev.com/about/,,OUR STORY,Neither
http://charterup.com,https://www.charterup.com/charter-bus-rentals/atlanta-charter-bus-rental/,Atlanta,Product/Feature
http://carebridgehealth.com/team2023,,National Medical Director - Behavioral Health,Title/role
https://birchcreekdev.com/about/,,start Simple Custom CSS and JS,Neither
https://greenlightdistribution.com,https://greenlightdistribution.com/wine/,Wine,Product/Feature
https://birchcreekdev.com,https://www.instagram.com/birchcreek333/,Instagram,Neither
https://birchcreekdev.com/about/,,Contact,Neither
http://charterup.com,https://www.charterup.com/shuttles/religious-group-shuttle-buses/,Shuttles for Religious Groups,Product/Feature
https://birchcreekdev.com/about/,,end Simple Custom CSS and JS,Neither
https://birchcreekdev.com/about/,,Services,Neither
http://liveshopper.com,https://liveshopper.com/who-we-are/,Who We Are,About
https://birchcreekdev.com/about/,,Projects,Neither
https://birchcreekdev.com/about/,,end Simple Custom CSS and JS,Neither
http://liveshopper.com,https://liveshopper.com/appeals/,Appeals,Product/Feature
https://greenlightdistribution.com,https://greenlightdistribution.com/contact/,Contact,Neither
http://charterup.com,https://www.charterup.com/charter-buses/charter-bus-rentals-for-government/,Charters for Government,Product/Feature
https://greenlightdistribution.com,https://greenlightdistribution.com/contact/,Contact,Neither
https://birchcreekdev.com/about/,,"Since inception, Birch has developed 36 utility scale solar projects, totaling 872 MW.",Neither
http://charterup.com,http://charterup.com,Back To Top,Neither
https://birchcreekdev.com,https://birchcreekdev.com/sitemap/,Sitemap,Neither
https://birchcreekdev.com/about/,,end Simple Custom CSS and JS,Neither
https://birchcreekdev.com/about/,,start Simple Custom CSS and JS,Neither
http://carebridgehealth.com/team2023,,Lynne Schaffler,Neither
https://greenlightdistribution.com,https://greenlightdistribution.com/spirits/,Portfolio,Product/Feature
http://liveshopper.com,https://liveshopper.com/prestoshopper-app/,PrestoShopper App,Product/Feature
http://charterup.com,https://www.charterup.com/about-us/sustainability/,Sustainability,Neither
http://charterup.com,https://www.charterup.com/reviews/,Reviews,Neither
http://liveshopper.com,https://liveshopper.com/security-document/,Security Document,Product/Feature
https://birchcreekdev.com/about/,,/ Yoast SEO plugin.,Neither
https://birchcreekdev.com/about/,,", the Southeast, and other markets in the US.",Neither
https://birchcreekdev.com/about/,,"MISO, PJM,",Neither
http://charterup.com,https://www.charterup.com/shuttles/private-shuttle-buses/,Shuttles for Private Events,Product/Feature
http://charterup.com,https://www.charterup.com/charter-bus-rentals/miami-charter-bus-rental/,Miami,Product/Feature
http://carebridgehealth.com/team2023,,Dr. Melinda Henderson,Neither
https://birchcreekdev.com,https://www.facebook.com/profile.php?id=100081508085987,Facebook-f,Neither
http://carebridgehealth.com/team2023,,This is Squarespace.,Neither
https://birchcreekdev.com/about/,,Google Tag Manager,Neither
https://birchcreekdev.com/about/,,Team,Neither
http://carebridgehealth.com/team2023,,"President, PA Market",Title/role
http://carebridgehealth.com/team2023,,"Mikes past leadership roles include serving as President and Chief Executive Officer at PopHealthCare, Optums EverCare, and INSPIRIS. These companies all deliver technology-enabled, cutting edge medical solutions, provided in home-based settings, contracting on full risk or value-based structures. Mike also serves on several healthcare company boards.",Bio
https://birchcreekdev.com/about/,,This site is optimized with the Yoast SEO plugin v22.1 - https://yoast.com/wordpress/plugins/seo/,Neither
https://birchcreekdev.com/about/,,Birch Creeks senior management group has collectively financed or developed solar generation projects in practically every state in the nation.,Neither
http://carebridgehealth.com/team2023,,"Dr. Henderson most recently served as the Chief Medical Officer of PopHealthCare and previously served as the Lead Medical Director for Uniteds LTSS program in Tennessee as well as on Uniteds national LTSS clinical team. She is board-certified in internal medicine, geriatrics, and palliative medicine as well as a certified Medical Director with the Society for Post-Acute and Long-Term Care Medicine. She also serves as a Lieutenant Colonel in the US Army Reserve.",Bio
http://carebridgehealth.com/team2023,,End of Squarespace Headers,Neither
http://charterup.com,https://www.charterup.com/charter-buses/charter-bus-rentals-for-airlines/,Charters for Airlines,Product/Feature
http://carebridgehealth.com/team2023,,0,Neither
http://charterup.com,https://www.charterup.com/about-us/sustainability/,Sustainability,Neither
https://greenlightdistribution.com,https://greenlightdistribution.com/scotch-irish-whiskey/,Scotch / Irish Whiskey,Product/Feature
https://birchcreekdev.com/about/,,[if !(IE 6) | !(IE 7) | !(IE 8)  ]><!,Neither
http://carebridgehealth.com,http://carebridgehealth.com/contact,Contact,Neither
https://greenlightdistribution.com,https://greenlightdistribution.com/locations/,Locations,Neither
http://carebridgehealth.com/team2023,,"Todd most recently served as Senior Vice President of Business Development at Remedy Partners, where he was a founding member of the management team and led Remedys risk partnerships. Prior to Remedy, he served as a Director in Alvarez & Marsals healthcare restructuring group.",Bio
http://carebridgehealth.com/team2023,,"Patti has nearly 25 years of Medicaid LTSS experience, most recently as the longstanding Assistant Commissioner and Chief of LTSS for TennCare, the Medicaid Agency in Tennessee. She is a lifelong family caregiver and a nationally recognized leader in HCBS policy and programs. She has managed LTSS, value-based purchasing, and initiatives to improve care for beneficiaries dually eligible for Medicare and Medicaid.",Bio
http://carebridgehealth.com/team2023,,Dr. Miranda Huffman,Neither
http://carebridgehealth.com/team2023,,Derek Lindblom,Neither
http://carebridgehealth.com/team2023,,Pam Coleman,Neither
http://carebridgehealth.com/team2023,,Team,Neither
https://birchcreekdev.com/about/,,About,Neither
http://carebridgehealth.com,http://carebridgehealth.com/careers,Careers,Neither
https://greenlightdistribution.com,https://greenlightdistribution.com/beer/,Beer,Product/Feature
http://charterup.com,https://www.charterup.com/shuttles/airport-shuttle-buses/,Shuttles for Airports,Product/Feature
http://charterup.com,https://www.charterup.com/terms-and-conditions/,Terms & Conditions,Neither
https://greenlightdistribution.com,https://greenlightdistribution.com/rum-gin/,Rum / Gin,Product/Feature
http://charterup.com,https://www.charterup.com/operators/,Operators,Product/Feature
http://charterup.com,https://www.charterup.com/charter-bus-rentals/austin-charter-bus-rental/,Austin,Product/Feature
http://charterup.com,https://www.charterup.com/privacy-policy/,"Privacy
                    Policy",Neither
http://carebridgehealth.com/team2023,,Chief Medical Officer,Title/role
https://greenlightdistribution.com,https://greenlightdistribution.com/tequila-mezcal/,Tequila / Mezcal,Product/Feature
http://charterup.com,tel:1-855-920-2287,1-855-920-2287,Neither
http://carebridgehealth.com/team2023,,Wilmaries past leadership roles include lead advocate as Pennsylvanias State Long-Term Care Ombudsman and overseeing the statewide protectives services programs. Wilmarie most recently served as Director of Quality designing the overall evaluation and quality infrastructure for the MLTSS program at the PA Department of Human Services.,Bio
http://charterup.com,https://www.charterup.com/shuttles/university-and-campus-shuttle-buses/,Shuttles for University & Campuses,Product/Feature
http://carebridgehealth.com,http://carebridgehealth.com/who-we-serve-23,Who We Serve,Product/Feature
http://charterup.com,https://www.charterup.com/charter-bus-rentals/new-york-city-charter-bus-rental/,New York City,Product/Feature
https://birchcreekdev.com,https://www.linkedin.com/company/birch-creek-development,Linkedin,Neither
http://charterup.com,https://www.charterup.com/charter-buses/charter-bus-rentals-for-religious-groups/,Charters for Religious Groups,Product/Feature
http://charterup.com,https://www.charterup.com/careers/,Careers,Neither
http://charterup.com,https://www.charterup.com/charter-bus-rentals/washington-dc-charter-bus-rental/,Washington DC,Product/Feature
https://birchcreekdev.com/about/,,Google Tag Manager (noscript),Neither
http://charterup.com,https://www.charterup.com/about-us/,About Us,Product/Feature
https://birchcreekdev.com/about/,,end Simple Custom CSS and JS,Neither
http://charterup.com,https://www.charterup.com/shuttles/hospital-and-healthcare-worker-shuttle-buses/,Shuttles for Hospitals & Healthcare Workers,Product/Feature
https://birchcreekdev.com/about/,,"Birch Creek was formed in 2019 by a group of experienced solar-industry executives, to take advantage of the tremendous opportunity for utility-scale solar growth and development.",Neither
http://carebridgehealth.com/team2023,,"Puneets prior leadership roles include serving as CEO of Quartet Health, Chief Growth Officer of Elevances Diversified Business Group (Carelon), and Chief Development Officer at Aspire Health.  In each of these roles, Puneet partnered with payers and providers to help scale innovative, value-based care models to improve the healthcare of underserved communities.",Bio
https://greenlightdistribution.com,https://greenlightdistribution.com/locations/,Locations,Neither
http://carebridgehealth.com/team2023,,Chief Medical Director - Clinical Operations & Transformation,Title/role
https://birchcreekdev.com/about/,,end Simple Custom CSS and JS,Neither
http://carebridgehealth.com/team2023,,Chief Financial Officer,Title/role
http://carebridgehealth.com/team2023,,"President, Clinical Operations",Title/role
https://greenlightdistribution.com,https://greenlightdistribution.com/vodka/,Vodka,Product/Feature
http://charterup.com,"https://app.charterup.com/selfServe/?utm_source=marketingWebsite&utm_medium=navBar&utm_content=quoteButton&utm_campaign=CharterUP_–_Charter_Bus_Rentals,_Comparisons,_and_Tracking",Get A Quote,Neither
http://carebridgehealth.com,http://carebridgehealth.com/cbproductsandservices23,Products and Services,Product/Feature
http://carebridgehealth.com/team2023,,Wilmarie Gonzalez,Neither
https://birchcreekdev.com/about/,,start Simple Custom CSS and JS,Neither
http://liveshopper.com,https://liveshopper.com/dragon/,Dragon,Product/Feature
https://birchcreekdev.com/about/,,start Simple Custom CSS and JS,Neither
http://carebridgehealth.com/team2023,,Patti Killingsworth,Neither
http://charterup.com,https://www.charterup.com/charter-buses/charter-bus-rentals-for-schools/,Charters For Schools,Product/Feature
http://carebridgehealth.com,http://carebridgehealth.com/cb-privacy-policy,Notice of Privacy Practices,Neither
http://charterup.com,mailto:communications@charterup.com,communications@charterup.com,Neither
http://carebridgehealth.com/team2023,,Dr. Saxena most recently served as the medical director of hospital services for Vanderbilt Behavioral Health. He is the medical director of behavioral health services at Southwell Health System and is certified by the American Board of Psychiatry and Neurology.,Bio
http://charterup.com,https://www.charterup.com/charter-bus-rentals/boston-charter-bus-rental/,Boston,Product/Feature
https://birchcreekdev.com/about/,,start Simple Custom CSS and JS,Neither
http://charterup.com,https://www.charterup.com/charter-bus-rentals/chicago-charter-bus-rental/,Chicago,Product/Feature
,,"Puneets prior leadership roles include serving as CEO of Quartet Health, Chief Growth Officer of Elevances Diversified Business Group (Carelon), and Chief Development Officer at Aspire Health.  In each of these roles, Puneet partnered with payers and providers to help scale innovative, value-based care models to improve the healthcare of underserved communities.",Bio
,,Vice President of Operations,Title/role
,,"Brandon was most recently the Chief Financial Officer of Landmark Health, a national, risk-bearing house call provider serving chronically ill patients. Prior to Landmark, he was Vice President at General Atlantic, a global growth equity firm, where he focused on healthcare services and IT investing.",Bio
,,"Executive Vice President, Pharmacy",Title/role
,,Products and Services,Product/Feature
,,"President, PA Market",Title/role
,,Workforce Solutions,Product/Feature
,,Chief Operating Officer,Title/role
,,"Mark Kharoufeh began his journey in healthcare almost 30 years ago as a pediatric oncology nurse at Los Angeles Children’s Hospital. His evolution in healthcare through various clinical, leadership, and executive roles and a passion for customer service led him down a successful path of business operations. In 2012, Mark was a finalist for AZ Business Magazine’s “Healthcare Professional of the Year” for his leadership in an all-inclusive care under one roof ambulatory healthcare service model. Mark obtained his MBA from Grand Canyon University in 2015 and completed the University of Arizona Eller Executive Leadership Program in 2019.",Bio
,,Software & Platform,Product/Feature
,,"Regional President, West",Title/role
,,Executive Chairman,Title/role
,,National Medical Director - Clinical Operations,Title/role
,,"After a successful launch to his career in Milwaukee, WI, Rick returned to Arizona to be closer to his extended family.  In Arizona, he oversaw all pharmaceutical operations of the hospital-based outpatient clinics at HonorHealth, where he met his future business partner, Mark Kharoufeh.  Rick and Mark co-founded InfuseAble Care in Scottsdale, AZ, in 2020.  When FlexCare acquired InfuseAble Care in 2021, Rick transitioned to EVP of Pharmacy, leading the supply chain and procurement initiatives across the enterprise.  With the recent acquisition of a specialty pharmacy, Rick extended his purview to include oversight of this valuable service line.",Bio
,,"President, Clinical Operations",Title/role
,,Team — CareBridge,About
,,"Austin graduated from the University of Oklahoma with a degree in mechanical engineering. His focus on electromechanical systems quickly led to a passion for automation and building software and data solutions. After gaining experience as a software and applications engineer, he started a software consulting company and has launched several enterprise web, desktop, and mobile applications.",Bio
,,Team,About
,,Home Services,Product/Feature
,,Who We Are,About
,,Chief Medical Officer,Title/role
,,Sassie Systems,Product/Feature
,,"Matt and his wife Rachel reside in Birmingham, AL with their two pets, Addie and Jenkins.",Bio
,,Rebekkah graduated from the University of Oklahoma Health Sciences Center where she earned her Master of Science Degree in Nursing with a Family Nurse Practitioner emphasis. She has over 16 years of experience in patient care and is passionate about infusion therapy and best serving our patients.,Bio
,,"Dr. Cohen most recently served as the Vice President Collaborative Innovation and Clinical Strategy at CVS Health.  Prior to CVS, he served as the Chief Medical Director for Post-Acute Care and Government Programs at eviCore, a Cigna company.  He is a board-certified internist with nearly thirty years of clinical and executive experience.",Bio
,,Demos,About
,,Matt Holden is an acute care Nurse Practitioner with over a decade of committed service to the patients in his community. Matt joined FlexCare in 2021 as a Managing Nurse Practitioner and led the launch of the first FlexCare location in Alabama before assuming the role of Vice President of Operations in 2023.,Bio
,,Banking,Product/Feature
,,Chief Executive Officer,Title/role
,,Online Monitoring,Product/Feature
,,"Lynne most recently served as President of the Clinical Care business for Matrix Medical Network, providing in-home assessments supporting risk adjustment and HEDIS gap closure for health plan customers. Prior to Matrix, Lynne spent 10 years with UnitedHealth Group in various leadership positions.",Bio
,,"Executive Vice President, Business Development and Expansion",Title/role
,,"Heather Randel joined FlexCare in 2020 and led the development of the Intake team before taking over Revenue Cycle Management in 2022. Heather has 10 years of medical RCM experience in ambulatory, specialty pharmacy, and home infusion. Previously, Heather was the Assistance Director of RCM in Intake for a Specialty Pharmacy and Home Infusion service in Kansas.",Bio
,,Board of Directors,About
,,"Mark’s dedication to enhancing access to healthcare and a model that always places the patients and their caregivers at the center of every visit was the impetus for teaming up with Rick Yerondopoulos and establishing InfuseAble Care in November 2020. Through Mark and Rick’s reputation in Arizona for reliable and service-oriented healthcare, InfuseAble Care’s brand quickly became the trusted ambulatory infusion center for physicians to refer their patients to around the state. Mark and Ricks’s goals of scaling InfuseAble Care nationally came to fruition upon meeting Aaron Smith, Callie Turk, and Adam Midkiff of FlexCare and RC Capital and ultimately joined FlexCare Infusion via acquisition in December 2021.",Bio
,,"Derek most recently led COVID-19 testing and mass and mobile vaccination efforts across the State of Illinois. Prior to that, he was a leader at Livongo (LVGO) and led teams with global consulting firm Bain & Co. and 7wireVentures VC Fund. He was also a policy advisor in the U.S. Senate and the City of Chicago Mayors Office.",Bio
,,"Rick Yerondopoulos professional trajectory took him into leadership just 3 years after obtaining his Doctor of Pharmacy (Pharm.D.) from the University of Arizona. His desire to be a business leader in the world of pharmaceuticals and operations drove him to complete two post-graduate residencies in Milwaukee, WI, with a heavy concentration on administration leadership.  Rick was selected to represent the state of Wisconsin in a joint venture with the state of Iowa at the 2007 Young Pharmacy Leaders Conference.",Bio
,,Contacts,About
,,Product Overview,Product/Feature
,,Wilmaries past leadership roles include lead advocate as Pennsylvanias State Long-Term Care Ombudsman and overseeing the statewide protectives services programs. Wilmarie most recently served as Director of Quality designing the overall evaluation and quality infrastructure for the MLTSS program at the PA Department of Human Services.,Bio
,,Virtual Tour,Product/Feature
,,Chief Medical Director - Clinical Operations & Transformation,Title/role
,,About Us,About
,,Automatization,Product/Feature
,,Team,About
,,Vice President of Technology,Title/role
,,Contact Us,About
,,Fraud prevention,Product/Feature
,,Our Foundation,About
,,"Todd most recently served as Senior Vice President of Business Development at Remedy Partners, where he was a founding member of the management team and led Remedys risk partnerships. Prior to Remedy, he served as a Director in Alvarez & Marsals healthcare restructuring group.",Bio
,,Brad is the Executive Chairman of CareBridge Health and the Founder and Chief Executive Officer of Russell Street Ventures. Brad served as Co-Founder and CEO of Aspire Health and the Director of the Center for Medicare and Medicaid Innovation (CMMI).,Bio
,,Cloud,Product/Feature
,,Request a Visit,About
,,Chief Growth Officer,Title/role
,,"Dr. Hsu most recently served as Vice President of Medical Policy and Utilization Review and One Care Medical Director at Commonwealth Care Alliance.  Prior to CCA, he helped develop and implement the Beth Israel Deaconess MassHealth Accountable Care Organization.  He is a board certified in internal medicine, pulmonary medicine, and critical care medicine.",Bio
,,"Mark currently resides in Litchfield Park, AZ with his wife, two sons, daughter, and labradoodle Eevee.",Bio
,,"Dr. Henderson most recently served as the Chief Medical Officer of PopHealthCare and previously served as the Lead Medical Director for Uniteds LTSS program in Tennessee as well as on Uniteds national LTSS clinical team. She is board-certified in internal medicine, geriatrics, and palliative medicine as well as a certified Medical Director with the Society for Post-Acute and Long-Term Care Medicine. She also serves as a Lieutenant Colonel in the US Army Reserve.",Bio
,,Marketing Tools,Product/Feature
,,Providers,Product/Feature
,,Dr. Saxena most recently served as the medical director of hospital services for Vanderbilt Behavioral Health. He is the medical director of behavioral health services at Southwell Health System and is certified by the American Board of Psychiatry and Neurology.,Bio
,,"Patti has nearly 25 years of Medicaid LTSS experience, most recently as the longstanding Assistant Commissioner and Chief of LTSS for TennCare, the Medicaid Agency in Tennessee. She is a lifelong family caregiver and a nationally recognized leader in HCBS policy and programs. She has managed LTSS, value-based purchasing, and initiatives to improve care for beneficiaries dually eligible for Medicare and Medicaid.",Bio
,,Chief Financial Officer,Title/role
,,Board of Advisors,About
,,Lead generation,Product/Feature
,,"Rebekkah lives in Oklahoma City with her 3 kids and her dog. When she’s not keeping busy with her kids, you can find her in her craft room.",Bio
,,About,About
,,"Pam has more than 30 years of experience in Medicaid and has led efforts nationwide to develop, expand, and improve managed long-term services and supports (MLTSS) programs. Pam most recently served as a Director with Sellers Dorsey, a Medicaid consulting firm. Prior to that, Pam was the Director of Managed Care for the State of Texas Medicaid programs.",Bio
,,"Rick currently resides in Scottsdale, AZ with his wife.  His son attends Northern Arizona University in Flagstaff, AZ.",Bio
,,"Matt received his BSN from Auburn University before earning his MSN from Vanderbilt University. His experience includes Intensive Care, Transplant Medicine, Cardiothoracic Surgery, and Outpatient Care. Prior to joining FlexCare, Matt developed and launched two new service lines for an outpatient cardiology group in Alabama.",Bio
,,"Mikes past leadership roles include serving as President and Chief Executive Officer at PopHealthCare, Optums EverCare, and INSPIRIS. These companies all deliver technology-enabled, cutting edge medical solutions, provided in home-based settings, contracting on full risk or value-based structures. Mike also serves on several healthcare company boards.",Bio
,,Rebekkah Jackman joined FlexCare Infusion Centers in 2019 as a Managing Nurse Practitioner and Specialty Biologics Clinical Reviewer before assuming the role of Director of Patient Access in 2022. Rebekkah heads FlexCare’s industry-leading Intake team and ensures FlexCare patients experience the shortest time to treatment.,Bio
,,Vice Chairman,Title/role
,,About,About
,,"Austin lives in Oklahoma City with his wife, Skye, and two kids. In his free time, you can find him on the running trail, golf course, or playing games and sports with his family and friends.",Bio
,,Deputy Chief Medical Officer - Decision Support,Title/role
,,Patients,Product/Feature
,,Director of Patient Access,Title/role
,,Who We Serve,About
,,Director of Revenue Cycle Management,Title/role
,,"Currently, Heather oversees RCM for FlexCare’s ambulatory infusion services and specialty pharmacy. She lives in Olathe, KS with her husband and two children.",Bio
,,Dr. Huffman is a family physician with a Masters in in Education who continues to mentor students in a free clinic and teaches clinical medicine at Meharry Medical College. She has a particular interest in the care of patients with substance use disorders and chronic pain.,Bio
,,Communication and Media,Product/Feature
,,Contact Us,About
